cycle,car_avg_speed,traffic_density_per_km,car_traffic_flow,num_cars_exiting
97,29.676275023535403,11.986681465038851,355.7200557760072,2
98,29.46672324130484,11.986681465038851,353.20822531197825,2
99,29.463557057061415,11.986681465038851,353.1702732699927,2
100,29.258577262008785,11.986681465038851,350.7132457599279,2
101,28.98944272361067,11.986681465038851,347.4872157769094,2
102,28.728819506229936,12.208657047724756,350.7403047375466,2
103,28.70821050252888,12.208657047724756,350.48869647926506,2
104,26.657946245415246,12.208657047724756,325.45772330695655,2
105,26.60898106232468,12.208657047724756,324.85992417932476,2
106,26.598300521325044,12.43063263041066,330.633702373852,2
107,26.570322067539724,12.208657047724756,324.38794977018546,2
108,26.586690234007676,12.208657047724758,324.58778310109284,2
109,26.504351892508748,12.208657047724758,323.58254252785395,2
110,26.55232739267463,12.208657047724758,324.1682589560723,2
111,26.36613943434381,12.208657047724758,321.89515402639523,2
